U_Descripcion;U_Descrip_Color;U_Estilo;PROTO #;FABRICATRION;CATEGORY;U_Zone;U_Segmentacion_SK;IN STORE MONTH;PATTERN STATUS (CARRYOVER OR NEW);SKU STATUS ;ECOM;MARKETING;DESCRIPTION;Dimensions;Retail;Wholesale;Disc. Whsl;SIZE;Total Units;Total Disc. Wholesale;;ST;STOCK
CATHERINE SMALL SATCHEL;ZEPHYR;U07778;P126097;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Interior zip pocket
Removable Crossbody strap
Double top zip closure";"9-3/4""X4-1/8""X6""
Handle Drop: 3""
Strap Drop: 21"" on middle hole";$360.00 ;$180.00 ;#¡REF!;OS;;;;0%;0
CATHERINE SMALL SATCHEL;HONEY;U07780;P126097;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Interior zip pocket
Removable Crossbody strap
Double top zip closure";"9-3/4""X4-1/8""X6""
Handle Drop: 3""
Strap Drop: 21"" on middle hole";$360.00 ;$180.00 ;#¡REF!;OS;;;;0%;0
CATHERINE TOTE;OLIVE NIGHT;U07781;P125607;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Magnetic snap closure
Interior zip pocket
2 slip pockets
Top Handle for hand carry
Long strap for shoulder carry
Fits up to a 16"" laptop";"18.9 X 5.5 X 13.5
Handle Drop: 4.72”Strap Drop: 12”";$450.00 ;$225.00 ;#¡REF!;OS;;;;0%;0
CELENEA SADDLE BAG;BLACK;U07334;P125188;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Adjustable/convertible shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
Luxe leather";"8.2” x 3.2” x 6.5”
Strap Drop: 22”";$300.00 ;$150.00 ;#¡REF!;OS;1;;;0%;0
CELENEA SADDLE BAG;DK CUOIO;U07365;P125188;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Adjustable/convertible shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
Luxe leather";"8.2” x 3.2” x 6.5”
Strap Drop: 22”";$300.00 ;$150.00 ;#¡REF!;OS;1;;;0%;0
CELENEA SADDLE BAG;CH BLACK GARNET LIZARD;U07792;P125188;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Adjustable/convertible shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
Luxe leather";"8.2” x 3.2” x 6.5”
Strap Drop: 22”";$300.00 ;$150.00 ;#¡REF!;OS;;;;0%;0
CENTRAL SLING BAG;BLACK;F12312;P123672;NYLON;MACC;BAG;Zerogrand;AUG;Carryover;Carryover;;;"From a quick day hike to baseball games or trips to the farmers market, the Field Day Sling is the perfect small day pack for all your adventures. Crafted in recycled materials, you'll be surprised at how much you can fit in this versatile bag. Stash phone, wallet, keys, headphones and even tablets.
All components made from recycled materials
Exterior front pocket with recycled leather pull
Detachable carabiner (recycled plastic) to secure keys and dedicated key fob
Fits iPads and tablets
Multiple interior mesh pockets
Fused padded backing for comfort";"15”L x 1”W x 8.75”H
Strap Drop – 27.56”";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
CENTRAL SLING BAG;OLIVE NIGHT;F12605;P123672;NYLON;MACC;BAG;Zerogrand;AUG;Carryover;New;;;"From a quick day hike to baseball games or trips to the farmers market, the Field Day Sling is the perfect small day pack for all your adventures. Crafted in recycled materials, you'll be surprised at how much you can fit in this versatile bag. Stash phone, wallet, keys, headphones and even tablets.
All components made from recycled materials
Exterior front pocket with recycled leather pull
Detachable carabiner (recycled plastic) to secure keys and dedicated key fob
Fits iPads and tablets
Multiple interior mesh pockets
Fused padded backing for comfort";"15”L x 1”W x 8.75”H
Strap Drop – 27.56”";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
DANIELLA CHAIN SHOULDER BAG;BLACK;U07373;P125220;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Adjustable / Convertible chain shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
";"9.3” x 3.1”x 6”
Strap Drop: 18.2” (Adjustable)";$260.00 ;$130.00 ;#¡REF!;OS;;;;0%;0
DANIELLA CHAIN SHOULDER BAG;HERRINGBONE TWEED/ BLACK;U07788;P125220;TEXTILE / LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Adjustable / Convertible chain shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
";"9.3” x 3.1”x 6”
Strap Drop: 18.2” (Adjustable)";$260.00 ;$130.00 ;#¡REF!;OS;;;;0%;0
DANIELLA CHAIN SHOULDER BAG;CH MIDNIGHT MOON/ CH SPICED BROWN/ IVORY;U07789;P125220;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Adjustable / Convertible chain shoulder strap
Wear it multiple ways as a shoulder or crossbody bag
Spacious interior pocket to keep essentials
";"9.3” x 3.1”x 6”
Strap Drop: 18.2” (Adjustable)";$260.00 ;$130.00 ;#¡REF!;OS;;;;0%;0
DANIELLA WALLET ON A CHAIN;BLACK STUDS;U07797;P125340;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Adjustable/removable chain crossbody strap
Magnetic snap closure
6 CC slots
Interior front pocket";"8.3""x1.8""x4.3”
Strap Drop: 20.5”";$230.00 ;$115.00 ;#¡REF!;OS;1;;;0%;0
DANIELLA WALLET ON A CHAIN;IRISH COFFEE;U07796;P125340;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Adjustable/removable chain crossbody strap
Magnetic snap closure
6 CC slots
Interior front pocket";"8.3""x1.8""x4.3”
Strap Drop: 20.5”";$230.00 ;$115.00 ;#¡REF!;OS;1;;;0%;0
DELANCEY NYLON BACKPACK;BLACK/CH GOLDEN HONEY;U07810;P125907;NYLON;WACC;BAG;OTHER;AUG;New;New;;;"
Front zip pocket
Two side zip pockets
Interior zip pocket & 2 slip pockets
Fits up to a 14’ laptop
Trolly pass
Web shoulder straps";"10.5""X6.3""X14.8""
Handle Drop: 2""";$250.00 ;$125.00 ;#¡REF!;OS;1;;;0%;0
DELANCEY NYLON BACKPACK;OLIVE NIGHT /CH GODLEN HONEY;U07812;P125907;NYLON;WACC;BAG;OTHER;AUG;New;New;;;"
Front zip pocket
Two side zip pockets
Interior zip pocket & 2 slip pockets
Fits up to a 14’ laptop
Trolly pass
Web shoulder straps";"10.5""X6.3""X14.8""
Handle Drop: 2""";$250.00 ;$125.00 ;#¡REF!;OS;;;;0%;0
DAVIS BACKPACK;BLACK;U07420;P125153;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Leather backpack
Top Zip
Multiple compartments for easy organization
Front zip pocket
Trolley pass
Fits up to a 14” laptop";"14.4” x 7” x 17”
Handle Drop: 3.6”
Strap Drop: 10.4”";$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
DAVIS BACKPACK;IRISH COFFEE;U07421;P125153;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Leather backpack
Top Zip
Multiple compartments for easy organization
Front zip pocket
Trolley pass
Fits up to a 14” laptop";"14.4” x 7” x 17”
Handle Drop: 3.6”
Strap Drop: 10.4”";$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
DAVIS BACKPACK;CH BLACK GARNET;U07798;P125153;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Leather backpack
Top Zip
Multiple compartments for easy organization
Front zip pocket
Trolley pass
Fits up to a 14” laptop";"14.4” x 7” x 17”
Handle Drop: 3.6”
Strap Drop: 10.4”";$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
ELIZABETH CROSSBODY;BLACK;U07433;P125141;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"
Removable/adjustable crossbody strap
Adjustable shoulder strap
top zip closure
interior pockets";"11.1” x 3.5” x 6.5”
Handle Drop: 7.6”
Strap Drop: 19.4” (Removable)";$250.00 ;$125.00 ;#¡REF!;OS;;;;0%;0
ELIZABETH CROSSBODY;ZEPHYR;U07827;P125141;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"
Removable/adjustable crossbody strap
Adjustable shoulder strap
top zip closure
interior pockets";"11.1” x 3.5” x 6.5”
Handle Drop: 7.6”
Strap Drop: 19.4” (Removable)";$250.00 ;$125.00 ;#¡REF!;OS;;;;0%;0
ELIZABETH CROSSBODY;CH BLACK GARNET;U07829;P125141;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"
Removable/adjustable crossbody strap
Adjustable shoulder strap
top zip closure
interior pockets";"11.1” x 3.5” x 6.5”
Handle Drop: 7.6”
Strap Drop: 19.4” (Removable)";$250.00 ;$125.00 ;#¡REF!;OS;;;;0%;0
EMILY LEATHER CROSSBODY;BLACK;U07800;P125619;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Pebbled Leather
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$140.00 ;$70.00 ;#¡REF!;OS;;;;0%;0
EMILY LEATHER CROSSBODY;IRISH COFFEE;U07803;P125619;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Pebbled Leather
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$140.00 ;$70.00 ;#¡REF!;OS;;;;0%;0
EMILY LEATHER CROSSBODY;CH MIDNIGHT MOON;U07799;P125619;LEATHER;WACC;BAG;OTHER;AUG;New;New;;;"Pebbled Leather
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$140.00 ;$70.00 ;#¡REF!;OS;;;;0%;0
EMILY NYLON CROSSBODY;BLACK / CH GODLEN HONEY;U07814;P125618;NYLON;WACC;BAG;OTHER;AUG;New;New;;;"Nylon
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$110.00 ;$55.00 ;#¡REF!;OS;;;;0%;0
EMILY NYLON CROSSBODY;OLIVE NIGHT /CH GODLEN HONEY;U07815;P125618;NYLON;WACC;BAG;OTHER;AUG;New;New;;;"Nylon
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$110.00 ;$55.00 ;#¡REF!;OS;;;;0%;0
EMILY NYLON CROSSBODY;CH MADIERA BROWN / CH GODLEN HONEY;U07816;P125618;NYLON;WACC;BAG;OTHER;AUG;New;New;;;"Nylon
Front slip pocket
Top zip closure
Adjustable crossbody strap 
Interior zip pocket";"8-3/4""X1-5/8""X8-3/4""
Strap Drop: 21"" on middle hole";$110.00 ;$55.00 ;#¡REF!;OS;;;;0%;0
ESSENTIAL POUCH;BLACK HERRINGBONE;U07864;P124991;TEXTILE / LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Our signature Essential pouch is crafted with luxe and soft leather. Carry her as a crossbody with the gold chain to be hands free or pull it through for a chic clutch to wear on your night out.​
Removable chain strap.​
Can also carry as a wristlet.​";"8.66 X 1.25 X 5.25
Strap Drop -  20”
";$200.00 ;$100.00 ;#¡REF!;OS;;;;0%;0
EVIE CHAIN SADDLE BAG;IRISH COFFEE;U07831;P125155;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Magnetic snap closure
Signature CH logo
Adjustable chain crossbody for multiple wearing options:
Crossbody/Shoulder
Interior card slots
Fits most large phones";"6.9” x 2.24” x 5.5”
Strap Drop: 22.8”";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
EVIE CHAIN SADDLE BAG;CH MIDNIGHT MOON / CH TOBACCO/ IVORY;U07833;P125155;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Magnetic snap closure
Signature CH logo
Adjustable chain crossbody for multiple wearing options:
Crossbody/Shoulder
Interior card slots
Fits most large phones";"6.9” x 2.24” x 5.5”
Strap Drop: 22.8”";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
EVIE CHAIN SADDLE BAG;CH BLACK GARNET;U07834;P125155;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Magnetic snap closure
Signature CH logo
Adjustable chain crossbody for multiple wearing options:
Crossbody/Shoulder
Interior card slots
Fits most large phones";"6.9” x 2.24” x 5.5”
Strap Drop: 22.8”";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
GO ANYWHERE CONTINENTAL WALLET;IRISH COFFEE;U07873;P125168;LEATHER;WACC;SLG;OTHER;AUG;Carryover;New;;;"Saffiano Leather
Multiple card slots
Bill pockets
Zip closure";8” x 1.25” x 4”;$100.00 ;$50.00 ;#¡REF!;OS;;;;0%;0
GO ANYWHERE CONTINENTAL WALLET;BLACK;U07874;P125168;LEATHER;WACC;SLG;OTHER;AUG;Carryover;New;;;"Saffiano Leather
Multiple card slots
Bill pockets
Zip closure";8” x 1.25” x 4”;$100.00 ;$50.00 ;#¡REF!;OS;;;;0%;0
JUDSON BRUSHED TWILL BACKPACK;CH MIDNIGHT MOON/NEW BRITISH TAN;F12589;P125630;TWILL / LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Front zip pocket 
Two side slip pockets
Top zip flap closure with metal clasp 
Air tag ready logo pocket
Interior compartment fits to up to a 16’ laptop
Exterior back zip pocket for easy access to your laptop
Webbed adjustable straps";"17.5"" X 5.25"" X 22.5”
Handle Drop: 2”";$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
JUDSON BRUSHED TWILL BACKPACK;BLACK/NEW BRITISH TAN;F12591;P125630;TWILL / LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Front zip pocket 
Two side slip pockets
Top zip flap closure with metal clasp 
Air tag ready logo pocket
Interior compartment fits to up to a 16’ laptop
Exterior back zip pocket for easy access to your laptop
Webbed adjustable straps";"17.5"" X 5.25"" X 22.5”
Handle Drop: 2”";$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
JUDSON BRUSHED TWILL MESSENGER;CH MIDNIGHT MOON/NEW BRITISH TAN;F12592;P125629;TWILL / LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Flap magnetic closure
Interior compartment fits to up to a 16’ laptop
Interior zip pocket with key ring
Air tag ready logo pocket
Exterior back zip pocket
Webbed adjustable straps ";"14.5 ""X 3"" X  10.75”
Strap Drop: 30”";$280.00 ;$140.00 ;#¡REF!;OS;;;;0%;0
JUDSON BRUSHED TWILL SLING;CH MIDNIGHT MOON/NEW BRITISH TAN;F12595;P125628;TWILL / LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Front zip pocket
Exterior back zip pocket
Interior mesh zip pocket with key ring
Air tag ready logo pocket
Webbed adjustable straps";"12.5 ""X 2.5"" X  6”
Strap Drop: 22”";$170.00 ;$85.00 ;#¡REF!;OS;;;;0%;0
JUDSON BRUSHED TWILL SLING;BLACK/NEW BRITISH TAN;F12597;P125628;TWILL / LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Front zip pocket
Exterior back zip pocket
Interior mesh zip pocket with key ring
Air tag ready logo pocket
Webbed adjustable straps";"12.5 ""X 2.5"" X  6”
Strap Drop: 22”";$170.00 ;$85.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN WORK TOTE;BLACK;U07708;P125582;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Multiple compartments
Center zip pocket
Fits up to a 15""  laptop";16 1/2'' x 6'' x  11Handle Drop: 11 ¼ “;$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN WORK TOTE;CH MIDNIGHT MOON;U07769;P125582;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"Multiple compartments
Center zip pocket
Fits up to a 15""  laptop";16 1/2'' x 6'' x  11Handle Drop: 11 ¼ “;$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN WORK TOTE;IRISH COFFEE;U07908;P125582;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Multiple compartments
Center zip pocket
Fits up to a 15""  laptop";16 1/2'' x 6'' x  11Handle Drop: 11 ¼ “;$380.00 ;$190.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN MEDIUM TOTE;BLACK;U07678;P125756;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"
Magnetic snap closure
Detachable pouch
Fits up to a 15"" laptop";"DIMENSIONS:
15'' x 4 3/4'' x 11 1/4’’
Handle Drop: 11 ¾ “";$360.00 ;$180.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN MEDIUM TOTE;IRISH COFFEE;U07682;P125756;LEATHER;WACC;BAG;OTHER;AUG;Carryover;Carryover;;;"
Magnetic snap closure
Detachable pouch
Fits up to a 15"" laptop";"DIMENSIONS:
15'' x 4 3/4'' x 11 1/4’’
Handle Drop: 11 ¾ “";$360.00 ;$180.00 ;#¡REF!;OS;;;;0%;0
MIDTOWN MEDIUM TOTE;CH BLACK GARNET;U07853;P125756;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"
Magnetic snap closure
Detachable pouch
Fits up to a 15"" laptop";"DIMENSIONS:
15'' x 4 3/4'' x 11 1/4’’
Handle Drop: 11 ¾ “";$360.00 ;$180.00 ;#¡REF!;OS;;;;0%;0
MINI PHONE CROSSBODY;IRISH COFFEE;U07867;P124299;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"A compact phone crossbody fashioned with an adjustable strap for easy wear.
Snap closure with our signature single CH logo.​
Interior card slots.​
Fits most plus size phones. ​";"6.5""L x 3.75""W x ""H​
Strap Drop – 21.5""​";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
MINI PHONE CROSSBODY;CH MIDNIGHT MOON;U07869;P124299;LEATHER;WACC;BAG;OTHER;AUG;Carryover;New;;;"A compact phone crossbody fashioned with an adjustable strap for easy wear.
Snap closure with our signature single CH logo.​
Interior card slots.​
Fits most plus size phones. ​";"6.5""L x 3.75""W x ""H​
Strap Drop – 21.5""​";$150.00 ;$75.00 ;#¡REF!;OS;;;;0%;0
MINI SHOULDER BAG;BLACK/WHITE/BRITISH TAN;U07575;P122982;LEATHER;WACC;BAG;GRAND SERIES;AUG;Carryover;Carryover;;;"Our Mini shoulder bag is crafted in a luxe pebble leather with a removable shoulder strap that delivers versatile styling options.
Fits mini-iPad. 
Magnetic snap closure with signature single CH. 
Outside pocket with snap closure. 
Interior zip pocket. 
Front open pocket. 
A removable shoulder strap that adjusts for crossbody everyday wear.";"9”L x 2.75”W x 5.25”h
Handle Drop: 7.5”
Strap Drop: 22” (Adjustable + Removeable)";$250.00 ;$125.00 ;#¡REF!;OS;1;;;0%;0
MINI SHOULDER BAG;BLACK;U07594;P122982;LEATHER;WACC;BAG;GRAND SERIES;AUG;Carryover;Carryover;;;"Our Mini shoulder bag is crafted in a luxe pebble leather with a removable shoulder strap that delivers versatile styling options.
Fits mini-iPad. 
Magnetic snap closure with signature single CH. 
Outside pocket with snap closure. 
Interior zip pocket. 
Front open pocket. 
A removable shoulder strap that adjusts for crossbody everyday wear.";"9”L x 2.75”W x 5.25”h
Handle Drop: 7.5”
Strap Drop: 22” (Adjustable + Removeable)";$250.00 ;$125.00 ;#¡REF!;OS;1;;;0%;0
MINI SHOULDER BAG;CH MIDNIGHT MOON/ CH TOBACCO/ IVORY;U07845;P122982;LEATHER;WACC;BAG;GRAND SERIES;AUG;Carryover;New;;;"Our Mini shoulder bag is crafted in a luxe pebble leather with a removable shoulder strap that delivers versatile styling options.
Fits mini-iPad. 
Magnetic snap closure with signature single CH. 
Outside pocket with snap closure. 
Interior zip pocket. 
Front open pocket. 
A removable shoulder strap that adjusts for crossbody everyday wear.";"9”L x 2.75”W x 5.25”h
Handle Drop: 7.5”
Strap Drop: 22” (Adjustable + Removeable)";$250.00 ;$125.00 ;#¡REF!;OS;;;;0%;0
SLOANE CAMERA BAG;BLACK SAFFIANO;F12518;P125174;LEATHER;MACC;BAG;OTHER;AUG;Carryover;Carryover;;;"Saffiano Leather
Sfront Pocket
Inside main compartment contains zip pocket and Cole Haan logo that fits and air tag/tile.";"14” x 3” x 6.9”
Handle Drop: N/A
Strap Drop: 26.5”";$170.00 ;$85.00 ;#¡REF!;OS;;;;0%;0
SLOANE CAMERA BAG;LAVA SMOKE SAFFIANO;F12601;P125174;LEATHER;MACC;BAG;OTHER;AUG;Carryover;New;;;"Saffiano Leather
Sfront Pocket
Inside main compartment contains zip pocket and Cole Haan logo that fits and air tag/tile.";"14” x 3” x 6.9”
Handle Drop: N/A
Strap Drop: 26.5”";$170.00 ;$85.00 ;#¡REF!;OS;;;;0%;0
SLOANE COMMUTER TOTE;BLACK;F12602;P125626;LEATHER;MACC;BAG;OTHER;AUG;New;New;;;"Saffiano leather
Top zip closure
Front slip pocket
Two interior zip pockets 
Key ring inside zip pocket
Two slip pockets
Fits up to a 15’ laptop ";"13.97""X5.7""X14.6""
Strap Drop: 11""";$260.00 ;$130.00 ;#¡REF!;OS;2;;;0%;0
